Treatment,Inoc,N-add,Position,Rack,PlantNo,ShootMass
Control,Sterile,TRUE,A1,A,1,191.892
Inocualted,717A,TRUE,A2,A,2,36.022
Control,Sterile,TRUE,A3,A,3,34.732
Inocualted,733B,TRUE,A4,A,4,57.502
Inocualted,733B,TRUE,A5,A,5,73.182
Control,Sterile,TRUE,A6,A,6,57.862
Control,Sterile,TRUE,A7,A,7,71.06
Inocualted,717A,TRUE,A8,A,8,33.408
Inocualted,717A,TRUE,A9,A,9,NA
Inocualted,733B,TRUE,A10,A,10,39.324
Inocualted,717A,TRUE,A11,A,11,67.182
Inocualted,717A,TRUE,A12,A,12,21.682
Inocualted,717A,TRUE,B1,B,1,NA
Control,Sterile,TRUE,B2,B,2,40.896
Inocualted,733B,TRUE,B3,B,3,48.17
Inocualted,717A,TRUE,B4,B,4,26.202
Control,Sterile,TRUE,B5,B,5,NA
Control,Sterile,TRUE,B6,B,6,23.652
Inocualted,733B,TRUE,B7,B,7,30.35
Inocualted,733B,TRUE,B8,B,8,22.364
Control,Sterile,TRUE,B9,B,9,NA
Inocualted,717A,TRUE,B10,B,10,31.446
Inocualted,717A,TRUE,B11,B,11,33.102
Inocualted,733B,TRUE,B12,B,12,39.204
Control,Sterile,TRUE,C1,C,1,27.042
Control,Sterile,TRUE,C2,C,2,58.35
Inocualted,717A,TRUE,C3,C,3,58.984
Inocualted,733B,TRUE,C4,C,4,61.998
Control,Sterile,TRUE,C5,C,5,13.518
Control,Sterile,TRUE,C6,C,6,16.252
Inocualted,733B,TRUE,C7,C,7,27.412
Inocualted,733B,TRUE,C8,C,8,NA
Inocualted,733B,TRUE,C9,C,9,NA
Control,Sterile,TRUE,C10,C,10,28.578
Inocualted,717A,TRUE,C11,C,11,18.618
Inocualted,717A,TRUE,C12,C,12,35.004
Inocualted,733B,TRUE,D1,D,1,NA
Control,Sterile,TRUE,D2,D,2,23.606
Inocualted,733B,TRUE,D3,D,3,20.32
Inocualted,733B,TRUE,D4,D,4,28.242
Inocualted,717A,TRUE,D5,D,5,45.024
Inocualted,717A,TRUE,D6,D,6,41.85
Inocualted,733B,TRUE,D7,D,7,19.266
Inocualted,733B,TRUE,D8,D,8,31.84
Control,Sterile,TRUE,D9,D,9,22.738
Control,Sterile,TRUE,D10,D,10,NA
Inocualted,717A,TRUE,D11,D,11,12.516
Inocualted,717A,TRUE,D12,D,12,11.838
Inocualted,733B,FALSE,E1,E,1,12.652
Inocualted,717A,FALSE,E2,E,2,6.322
Inocualted,733B,FALSE,E3,E,3,16.566
Inocualted,733B,FALSE,E4,E,4,NA
Inocualted,733B,FALSE,E5,E,5,11.262
Control,Sterile,FALSE,E6,E,6,NA
Inocualted,717A,FALSE,E7,E,7,14.138
Control,Sterile,FALSE,E8,E,8,8.7
Control,Sterile,FALSE,E9,E,9,9.572
Inocualted,717A,FALSE,E10,E,10,11.346
Inocualted,733B,FALSE,E11,E,11,16.984
Inocualted,717A,FALSE,E12,E,12,11.53
Inocualted,733B,FALSE,F1,F,1,12.594
Inocualted,733B,FALSE,F2,F,2,7.81
Inocualted,717A,FALSE,F3,F,3,5.72
Inocualted,717A,FALSE,F4,F,4,9.746
Inocualted,733B,FALSE,F5,F,5,14.78
Inocualted,717A,FALSE,F6,F,6,8.362
Inocualted,717A,FALSE,F7,F,7,12.104
Control,Sterile,FALSE,F8,F,8,8.534
Control,Sterile,FALSE,F9,F,9,10.412
Inocualted,717A,FALSE,F10,F,10,9.336
Control,Sterile,FALSE,F11,F,11,16.046
Control,Sterile,FALSE,F12,F,12,NA
Control,Sterile,FALSE,G1,G,1,4.342
Inocualted,717A,FALSE,G2,G,2,10.012
Inocualted,733B,FALSE,G3,G,3,9.26
Inocualted,733B,FALSE,G4,G,4,11.788
Inocualted,717A,FALSE,G5,G,5,7.756
Control,Sterile,FALSE,G6,G,6,10.942
Inocualted,733B,FALSE,G7,G,7,12.516
Inocualted,733B,FALSE,G8,G,8,5.054
Control,Sterile,FALSE,G9,G,9,18.5
Control,Sterile,FALSE,G10,G,10,12.352
Inocualted,717A,FALSE,G11,G,11,13.482
Control,Sterile,FALSE,G12,G,12,13.092
Inocualted,717A,FALSE,H1,H,1,16.09
Inocualted,733B,FALSE,H2,H,2,8.432
Inocualted,717A,FALSE,H3,H,3,10.21
Control,Sterile,FALSE,H4,H,4,9.71
Control,Sterile,FALSE,H5,H,5,7.624
Control,Sterile,FALSE,H6,H,6,10.802
Control,Sterile,FALSE,H7,H,7,10.17
Inocualted,717A,FALSE,H8,H,8,12.468
Inocualted,733B,FALSE,H9,H,9,9.802
Inocualted,717A,FALSE,H10,H,10,14.85
Inocualted,733B,FALSE,H11,H,11,9.932
Inocualted,733B,FALSE,H12,H,12,6.366