sample,treatment,replicate,rack,height1,leaf1,chloro1,height2,leaf2,chloro2,height3,leaf3,chloro3,height4,leaf4,chloro4,nod_mass,total_nod,shoot_mass,root_mass
522co141-11-r39,522co141,11,39,1.9,3,31.7,3.6,9,33.4,5.1,15,37.6,7,48,44.3,0.0009452,34,120.93,55.74
522co141-12-r39,522co141,12,39,3.5,5,31.6,5,14,32.5,6,28,37.6,7.9,62,47.9,0.0018886,26,203.83,66.94
522co141-13-r39,522co141,13,39,1.9,6,42.6,3.5,12,37.9,5,18,37.7,6.8,48,46.8,0.0009966,20,121.97,48.96
522co141-14-r39,522co141,14,39,2.2,6,34.9,4.3,12,35.7,5.6,22,35.6,7.2,54,45.3,0.0015232,24,160.63,60.08
522co141-15-r39,522co141,15,39,1.4,6,39.7,2.7,9,35.5,4,15,32.9,7.1,49,46.6,0.0017,25,104.96,42.61
522co141-16-r22,522co141,16,22,2.4,6,41.6,3.6,12,38.5,5.4,29,41.1,7.9,73,46.9,0.0017366,37,241.27,128.67
522co141-17-r22,522co141,17,22,1.6,3,39.6,3.7,9,43.8,5.3,21,43.3,7.2,63,46.1,0.0016118,34,193.47,93.38
522co141-18-r22,522co141,18,22,2,3,31.3,3.8,9,34.8,5.3,27,42.1,7,63,47,0.0025514,42,239.91,113.3
522co141-19-r22,522co141,19,22,1.7,6,NA,3.8,12,33.9,5.3,21,40,7,54,46,0.000836,46,198.98,150.29
522co141-20-r22,522co141,20,22,3,6,36.2,5.3,12,42.7,6.1,36,42.2,8.3,65,46.3,0.0016786,38,354.44,153.1
702co141-1-r10,702co141,1,10,2.8,6,30.1,4.2,9,33.6,5.2,13,32.1,7.6,43,38.4,0.0017474,35,117.28,47.16
702co141-2-r10,702co141,2,10,2.1,3,31.6,3.5,9,38.3,5.4,13,35.3,8.9,43,43.2,0.0018118,25,118.74,48.26
702co141-3-r10,702co141,3,10,3,6,34.8,4.4,12,34,6.2,16,33.7,8.8,43,45.7,0.0012,28,150.86,51.64
702co141-4-r10,702co141,4,10,2.4,6,34.1,4.5,12,33.8,6.6,19,40.2,9.3,60,42.5,0.0019674,22,197.93,74.87
702co141-5-r10,702co141,5,10,3,6,26.7,5,12,32.9,6.6,16,34.9,9.6,64,44.3,0.001989,34,213.47,67.93
702co141-6-r14,702co141,6,14,1.9,6,39.1,4.6,12,43.3,5.9,30,38.5,7.2,73,46.5,0.0022096,37,269.33,111.75
702co141-7-r14,702co141,7,14,2.2,5,30.1,4,14,39.1,5.5,26,46.2,7.7,63,46.3,0.0018744,28,209.88,72.12
702co141-8-r14,702co141,8,14,2.5,6,27.5,4,11,34.9,4.3,29,43.2,6.9,62,49.8,0.0015188,26,207.56,84.27
702co141-9-r14,702co141,9,14,2.3,8,35.7,5.7,14,42.1,5.8,35,46.2,9.4,60,50.8,0.0017618,38,414.8,184.55
702co141-10-r14,702co141,10,14,2,3,37.5,3.3,9,39.3,4.7,18,36.1,5.5,53,45.1,0.0008234,14,154.64,80.79
702co141-11-r32,702co141,11,32,2.7,6,35.4,4.7,12,32.9,5.9,33,43.5,7.8,81,49.5,0.002264,25,262.84,145.01
702co141-12-r32,702co141,12,32,3.3,6,34.9,4.3,12,33.3,4.8,29,46.7,7.2,66,48.7,0.0013328,34,220.52,109.32
702co141-13-r32,702co141,13,32,2.2,6,32.6,4.6,12,36.1,5.6,30,41.1,7.3,75,50.9,0.0015888,37,264.13,138.67
702co141-14-r32,702co141,14,32,3,6,33.1,4.9,12,37,5.8,33,40.4,6.9,69,42.4,0.0005366,20,235.91,118.92
702co141-15-r32,702co141,15,32,3.1,6,33.5,6,15,41,6.3,39,41.7,8.1,93,47.6,0.0024526,50,357.16,176.36
702co141-16-r2,702co141,16,2,2,6,42.1,4.5,12,43.4,5.9,24,38.6,7.5,66,44.6,0.0014936,41,255.29,131.33
702co141-17-r2,702co141,17,2,2.8,6,32.3,5.6,12,41.7,6.8,33,45.6,9.5,82,49.4,0.0018626,55,406.57,188.09
702co141-18-r2,702co141,18,2,3.1,6,30.4,5.2,12,41.9,6.3,30,43,7.3,72,44.7,0.0013524,38,294.09,117.47
702co141-19-r2,702co141,19,2,2.3,3,33.8,3.9,12,43.4,5.4,24,39,9,60,47.7,0.0013336,44,251.27,98.01
702co141-20-r2,702co141,20,2,2.7,6,37.2,4.9,12,39.1,6.2,34,42.5,9,66,50.5,0.0022568,42,369.98,186.73
717co141-1-r29,717co141,1,29,2.6,6,29.4,4.7,12,35.3,6.1,17,33.5,7.9,51,46.7,0.001843,36,194.08,90.55
717co141-2-r29,717co141,2,29,2.8,5,22.8,4.4,14,36,5.3,18,34.5,7.8,54,42.6,0.001713,32,192.33,78.24
717co141-3-r29,717co141,3,29,3,6,30.8,5.1,9,33.8,6.3,18,32.9,8.4,57,48,0.001455,28,204.37,87.69
717co141-4-r29,717co141,4,29,3,6,35.4,5.3,12,35.8,7.2,24,40.5,9.2,55,46.5,0.0020436,16,253.82,70.14
717co141-5-r29,717co141,5,29,2.6,6,30.4,4.5,12,34.9,6.2,31,34.8,8.3,64,47.6,0.0011056,52,179.53,85.41
717co141-6-r8,717co141,6,8,0.5,3,NA,0.6,1,NA,0.5,1,NA,0.3,1,NA,NA,NA,NA,NA
717co141-7-r8,717co141,7,8,1.7,6,40,3.1,9,34.8,4.2,15,31.9,6.8,39,47.1,0.0015914,24,98.48,42.35
717co141-8-r8,717co141,8,8,2.2,6,37.1,4.5,12,37.7,5.8,24,36.3,7.5,44,51.6,0.0012028,33,182.56,70.31
717co141-9-r8,717co141,9,8,2.2,3,42.1,3.1,9,34.1,4.3,15,32.1,6.6,42,45.9,0.0014352,18,104.8,35.08
717co141-10-r8,717co141,10,8,2.7,6,37.9,4.5,12,36.2,4.9,16,30.8,5.7,28,36.4,0.0010904,53,72.23,63.72
717co141-11-r28,717co141,11,28,2.6,6,36.9,4.4,12,40.9,5.6,24,39.7,8.4,54,44.8,0.000786,21,185.6,91.01
717co141-12-r28,717co141,12,28,2.8,6,30.8,5.6,12,31.8,7.3,34,44.6,8.9,81,47.4,0.0030568,42,336.84,194.69
717co141-13-r28,717co141,13,28,1.9,6,29,3,9,29.2,4.4,13,39.4,6.4,36,44.9,0.0005762,14,71.08,32.79
717co141-14-r28,717co141,14,28,3.1,6,33.6,6.1,12,39.2,6.5,36,44.1,9,78,45.2,0.0027038,47,339.9,124.52
717co141-15-r28,717co141,15,28,1.5,6,30.5,3.5,9,41.5,4.4,15,34,7.1,45,45.4,0.00121148,19,94.5,41.42
717co141-16-r26,717co141,16,26,2.3,6,37,4.3,12,31.5,5.2,22,33.8,5.5,58,48.2,0.0009184,24,161.85,67.95
717co141-17-r26,717co141,17,26,2.8,6,33.6,4.7,12,34.1,5.5,27,34.5,6.6,68,45.5,0.0018266,48,204.48,91.96
717co141-18-r26,717co141,18,26,2,3,30.1,3.1,9,35.6,4,15,36.4,5.7,48,44.4,0.0011888,20,108.19,35.36
717co141-19-r26,717co141,19,26,2.2,6,26.3,3.4,12,32.3,4.5,18,32.3,6.7,56,44.9,0.0009874,47,139.36,72.1
717co141-20-r26,717co141,20,26,2.3,3,48.1,3,9,36.2,3,15,30.2,5.5,39,49,0.0009838,21,70.58,44.66
733co141-1-r7,733co141,1,7,2.2,3,27.1,4.3,9,43.8,4.3,13,25.7,6.3,34,46,0.000893,42,119.9,73.02
733co141-2-r7,733co141,2,7,2.4,6,33.1,4.4,12,36.4,5.2,21,35.6,7.3,61,47.3,0.0015592,46,210.67,81.06
733co141-3-r7,733co141,3,7,2.7,6,36.7,4.4,12,36.8,5.3,16,33.1,6.9,52,44.2,0.0013334,62,166.25,72.28
733co141-4-r7,733co141,4,7,2.1,6,32.6,3.3,12,31.5,4.5,16,34.2,6.4,40,46.5,0.0011066,37,114.1,52.73
733co141-5-r7,733co141,5,7,2.7,6,35.8,4.3,12,31.4,5.1,17,34.1,7,46,41.9,0.0013104,48,134.59,57.2
733co141-6-r17,733co141,6,17,3.1,6,28.9,4.7,12,34.1,5.9,21,40.6,7.4,64,44.9,0.0012028,27,204.47,68.92
733co141-7-r17,733co141,7,17,2.9,3,31.9,3.3,9,36.2,4.7,15,39.6,6.9,48,44.5,0.001186,29,149.43,57.19
733co141-8-r17,733co141,8,17,1.2,3,39.8,2.2,9,31.1,3.2,12,32.1,6.2,27,45,0.0007716,11,76.88,29.33
733co141-9-r17,733co141,9,17,2.5,6,36.1,4.6,12,36.1,5.5,17,39,7.5,52,41.6,0.0022354,31,165.46,74.82
733co141-10-r17,733co141,10,17,3.7,6,29.1,5.2,15,40.3,6.4,36,45.1,8.5,66,47.8,0.0016694,34,324.09,176.7
733co141-11-r38,733co141,11,38,2.6,6,36.9,5.1,12,31.7,5.9,28,39.3,7.9,70,48.1,0.002532,32,230.92,77.05
733co141-12-r38,733co141,12,38,1.1,3,29.1,3.2,9,33.3,5,15,38.3,6.6,51,42.8,0.0007056,14,122.82,53.23
733co141-13-r38,733co141,13,38,1.7,6,39.9,3.2,12,39.4,5,18,33.8,7.6,43,45.2,0.000682,17,110.94,46.71
733co141-14-r38,733co141,14,38,2.3,6,33.2,4.8,12,38.3,6.1,30,42.1,7.4,67,49.4,0.0013212,13,205.07,72.77
733co141-15-r38,733co141,15,38,3,6,31.2,4.4,12,35.4,5.9,27,46,7.4,67,50.3,0.001468,21,211.07,96.92
733co141-16-r40,733co141,16,40,3.1,6,37.7,5.8,12,30.6,6.5,29,38.4,8.3,75,46.1,0.0010134,35,240.07,108.36
733co141-17-r40,733co141,17,40,2.9,6,32.7,5.8,12,39.1,6.1,32,29.2,9,67,45.1,0.0018834,35,251.03,117.83
733co141-18-r40,733co141,18,40,2.3,5,40.2,2.7,12,30.1,5.2,19,36,9,43,47.2,0.0012452,24,127.86,50.74
733co141-19-r40,733co141,19,40,3.1,3,27.4,4.2,9,33.3,5.4,13,33.4,7,43,44.5,0.0003056,24,121.03,55.64
733co141-20-r40,733co141,20,40,2.5,6,33.4,5.2,12,31.2,6.3,25,34.1,8.4,69,47.7,0.0015096,23,238.77,102.17
InCtrl-1-r15,InCtrl,1,15,1.3,6,36.1,3.3,12,38.3,3.8,15,27.7,3.9,21,23.8,NA,0,40.59,41.93
InCtrl-2-r15,InCtrl,2,15,2.3,6,36.5,3.9,12,30.9,4.1,16,27.5,4.1,19,26.4,0.000775,2,47.97,70.87
InCtrl-3-r15,InCtrl,3,15,2.9,3,36.6,2.4,9,31.2,2.7,12,24.9,3.9,18,27.8,NA,0,29.79,46.09
InCtrl-4-r15,InCtrl,4,15,2.3,3,32.1,3,9,33.7,3.7,15,21.7,3.6,24,19.3,NA,0,44.95,33.46
InCtrl-5-r15,InCtrl,5,15,2.3,6,36.9,4.4,12,38.9,4.2,15,23.1,4,24,21.7,NA,0,54.62,46.69
InCtrl-6-r23,InCtrl,6,23,1.4,3,30.5,3.3,9,33.3,4.3,15,32.4,4.2,27,26.9,NA,0,55.01,49.19
InCtrl-7-r23,InCtrl,7,23,2.7,6,33.7,3.4,12,36.5,4.1,15,27.4,3.8,26,24.5,NA,0,49.91,49.67
InCtrl-8-r23,InCtrl,8,23,2.7,6,33.4,4,12,31.6,4.4,15,26.1,4.6,23,26.1,NA,0,46.24,48.44
InCtrl-9-r23,InCtrl,9,23,2.7,6,37.3,3.4,9,35.6,4.4,15,30.6,4.7,24,25.9,NA,0,51.13,62.18
InCtrl-10-r23,InCtrl,10,23,2.6,6,32.3,3.8,12,35.1,4.2,18,29.1,4.5,30,26.1,NA,0,55.1,58.67
InCtrl-11-r34,InCtrl,11,34,1.6,3,29.3,2.8,6,34.2,3.2,11,27.8,3.8,17,25.9,NA,0,29.86,31.15
InCtrl-12-r34,InCtrl,12,34,2.9,5,49.9,3.9,11,33.2,4.3,17,28.1,4.4,27,23.5,NA,0,45.79,55.82
InCtrl-13-r34,InCtrl,13,34,2.1,6,27.2,3.2,12,29.2,4,15,28.1,4.4,21,24.8,NA,0,41.09,53.59
InCtrl-14-r34,InCtrl,14,34,2.3,6,31.3,3.3,12,33.6,4.4,12,26.4,4.7,21,24.9,NA,0,35.12,52.32
InCtrl-15-r34,InCtrl,15,34,1.5,6,27.2,3.6,12,31,3.8,15,28.6,4.3,24,24,NA,0,43.73,50.24
InCtrl-16-r6,InCtrl,16,6,1.3,3,36.1,3,6,37.7,3.3,13,33.8,3.9,18,25.9,NA,0,37.3,52.51
InCtrl-17-r6,InCtrl,17,6,2.4,6,32.1,3.3,12,37,3.9,15,27.3,4.5,19,22.2,NA,0,42,30.45
InCtrl-18-r6,InCtrl,18,6,2.7,6,31.6,4.3,12,33.2,4.3,15,28,4.8,20,24.4,NA,0,52.26,51.62
InCtrl-19-r6,InCtrl,19,6,3,6,29.9,4,12,32.7,4,15,28.3,4,20,20.4,NA,0,51.5,59.12
InCtrl-20-r6,InCtrl,20,6,2.1,6,32.4,3.3,12,34.4,4.5,15,26.4,4.3,21,23.4,NA,0,45.27,66.32
ExCtrl-1-r41,ExCtrl,1,41,2.9,6,36.8,4.3,12,37.4,5,15,25.1,4.6,32,23.4,NA,0,60.08,52.55
ExCtrl-2-r41,ExCtrl,2,41,2.7,3,36.7,3.3,10,40.4,4.9,16,27.1,4.6,21,24.3,NA,0,51.7,67.25
ExCtrl-3-r41,ExCtrl,3,41,2.1,3,38.7,3.3,12,38.3,3.8,15,24,5,30,25.8,NA,0,42.58,44.43
ExCtrl-4-r41,ExCtrl,4,41,1.3,6,NA,2.2,9,38.2,4,15,28.9,4.1,21,27,NA,0,34.1,43.61
ExCtrl-5-r41,ExCtrl,5,41,2.4,3,31.9,3.5,9,41.4,5.3,15,29.2,4.9,24,21.1,NA,0,57.68,45.98
ExCtrl-6-r42,ExCtrl,6,42,2,3,32.9,3.4,9,31.7,4.2,13,28.8,4.3,13,28.3,NA,0,40.4,19.55
ExCtrl-7-r42,ExCtrl,7,42,1.4,3,45.2,2.1,8,45.5,3.5,15,34.9,4,13,31.7,NA,0,29.62,37.22
ExCtrl-8-r42,ExCtrl,8,42,2.9,6,35.2,3.7,12,33.7,4.7,14,28.4,5.1,13,29.3,NA,0,42.22,64.46
ExCtrl-9-r42,ExCtrl,9,42,0.9,3,NA,2,9,40.4,3.1,13,29.8,3.3,19,33.2,NA,0,23.75,27.79
ExCtrl-10-r42,ExCtrl,10,42,3.3,6,34.3,4.2,12,32.3,4.9,15,25.2,5.2,17,25.4,NA,0,46.56,54.85